CUSTOMER_NUMBER_BLINDED,SALES_OFFICE_DESCRIPTION,DELIVERY_PLANT_DESCRIPTION,ON_BOARDING_DATE,ADDRESS_CITY,ADDRESS_ZIP_CODE,COUNTY,GEO_LONGITUDE,GEO_LATITUDE,CUSTOMER_ACTIVITY_CLUSTER_DESCRIPTION,CUSTOMER_TRADE_CHANNEL_DESCRIPTION,CUSTOMER_SUB_TRADE_CHANNEL_DESCRIPTION,BUSINESS_TYPE_EXTENSION_DESCRIPTION,CUSTOMER_TRADE_CHANNEL_DESCRIPTION2,MARKET_DESCRIPTION,COLD_DRINK_CHANNEL_DESCRIPTION
C00000084394720481734,"Pueblo, CO","Pueblo, CO",10/27/2020,PUEBLO,81003-3232,PUEBLO,-104.608525,38.268485,Eating & Drinking,Quick Service Restau,QSR-Mexican,DSD,Quick Service Restau,ON PREMISE                    ,EATING/DRINKING               
C00000001520136128854,"Tempe, AZ","Tempe, AZ",4/16/2004,CAVE CREEK,85331-8614,MARICOPA,-111.9208,33.82503,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000000466208946945,"Draper, UT","Draper, UT",11/30/2018,DRAPER,84020-7730,SALT LAKE,-111.890901,40.530524,Eating & Drinking,Bar/Tavern/Licensed,Other Bar/Tavern/Lic,DSD,Bar/Tavern/Licensed,ON PREMISE                    ,EATING/DRINKING               
C00000000650133157428,"Denver, CO","Denver, CO",4/17/2006,MORRISON,80465,JEFFERSON,-105.15744,39.634971,Eating & Drinking,Quick Service Restau,QSR-Other Fast Food,DSD,Quick Service Restau,ON PREMISE                    ,EATING/DRINKING               
C00000001315721552413,"Show Low, AZ","Show Low, AZ",4/23/2004,SPRINGERVILLE,85938,APACHE,-109.279805,34.13281,Eating & Drinking,Full Service Restaur,FSR-All Other,DSD,Full Service Restaur,ON PREMISE                    ,EATING/DRINKING               
C00000228738019581110,"Draper, UT","Draper, UT",10/7/2019,SALT LAKE CITY,84117-5059,SALT LAKE,-111.84095,40.66591,Eating & Drinking,Quick Service Restau,QSR-Asian,DSD,Quick Service Restau,ON PREMISE                    ,EATING/DRINKING               
C00002296179123742430,"Bremerton, WA","Bremerton, WA",3/9/1995,PORT ORCHARD,98367-7579,KITSAP,-122.652784,47.49832,Grocery Shopping,Convenience Store/Pe,Other Convenience St,DSD,Convenience Store/Pe,HOME MARKET                   ,NON COLD DRINK                
C00000015632014828468,"Ogden, UT","Ogden, UT",3/21/2000,OGDEN,84403,WEBER,-111.95955,41.210345,Grocery Shopping,Convenience Store/Pe,Other Convenience St,DSD,Convenience Store/Pe,HOME MARKET                   ,NON COLD DRINK                
C00000388134621902392,"Boise, ID","Boise, ID",12/12/2017,MCCALL,83638-4408,ADAMS,-116.096865,44.89851,Grocery Shopping,Convenience Store/Pe,Other Convenience St,DSD,Convenience Store/Pe,HOME MARKET                   ,NON COLD DRINK                
C00000000963992461359,"Johnstown, CO","Johnstown, CO",6/14/2012,BOULDER,80302-6803,BOULDER,-105.25876,40.011185,Entertainment/Recrea,Amusement,Amusement/Theme Park,DSD,Amusement,ON PREMISE                    ,DESTINATION VENUE             
